gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_wb
cuti-1,90.50179781559633,4.8459345915872465,0.8120289643417221,3.7148274223526763e-10,1.0645044358052835e-7,ZC328.1
B0563.9,26.37025553397403,-6.173147921690405,1.0374215817436199,4.076028128618271e-10,1.142617015620274e-7,B0563.9
clec-139,36.28274873420536,-6.172066954329109,1.0425005248437091,4.848836311946669e-10,1.3303349838840913e-7,F35D11.10
ugt-16,247.40094454052257,5.032534938505034,0.8577320825696079,7.072726147016917e-10,1.9000584097038155e-7,ZC443.6
ZK1025.3,27.771739355765064,8.011680348191025,1.432992185691436,8.050577899745287e-10,2.1186163676982753e-7,ZK1025.3
dao-2,252.34776577807352,4.846731981159671,0.8330384177712209,8.27527130524514e-10,2.1341924696227213e-7,M03A1.7
F42A10.7,217.2861263465278,4.604178641068169,0.7991891079532792,8.947560803600381e-10,2.2623293443613121e-7,F42A10.7
Y49F6B.12,65.86224677760751,-6.065833014534152,1.0521488930421197,1.2087024362251279e-9,2.9179187669230954e-7,Y49F6B.12
idh-1,585.2243283371647,2.43073758239236,0.5191920074086791,1.2445562790288503e-9,2.9179187669230954e-7,F59B8.2
C25F6.7,19.39578001918004,5.016118994430262,0.8703917264289766,1.2181948085238904e-9,2.9179187669230954e-7,C25F6.7
K04H4.2,265.50804501322557,7.757582044523438,1.3954840190044489,1.233106601003684e-9,2.9179187669230954e-7,K04H4.2
dpy-3,27.884188414713776,7.974337308939202,1.4483586641983162,1.313680421065124e-9,3.024983755291924e-7,EGAP7.1
nhr-4,393.2323309949344,-2.109493685587523,0.43925604395754747,1.3933728780996796e-9,3.152200572472872e-7,F32B6.1
mlt-9,102.43411332862145,8.5184486954078409,1.5921009228769445,1.4957330593448936e-9,3.325427206940069e-7,F09B12.1
dpy-8,74.88714580554908,8.69556196292533,1.6575096278335946,1.908320783648938e-9,4.170812966975094e-7,C31H2.2
dpy-11,876.2964454771457,2.654718903580788,0.5781213407997099,2.1042065026686892e-9,4.522290475318791e-7,F46E10.9
dpy-2,116.77668313932406,9.016487169504837,1.7673434240538364,2.1507422368841227e-9,4.546528056495207e-7,T14B4.6
W06G6.10,66.62737110365494,-4.357395610397425,0.7914416714070281,2.2374343677239857e-9,4.653502608354967e-7,W06G6.10
nas-4,91.45483006680888,6.147375433447375,1.089859524325857,2.3056570338631265e-9,4.719277373280161e-7,C05D11.6
flp-32,1601.1525232996928,-2.0797580405303293,0.44161748117378175,2.545242962010685e-9,5.128266874238716e-7,R03A10.2
F13E9.15,391.8135833285189,-2.523976646664736,0.5577361081060841,2.7387069924886332e-9,5.433173333560142e-7,F13E9.15
Y51A2A.4,238.63994392248173,-2.411478775517429,0.532616684495335,2.8266871967716988e-9,5.440318119756874e-7,Y51A2A.4
qua-1,83.79296270810086,4.1011960220687165,0.765905936441723,2.790101230049879e-9,5.440318119756874e-7,T05C12.10
noah-2,66.98146075668953,4.770234470982838,0.8584186307460437,2.9023093802435586e-9,5.503717567388336e-7,F52B11.3
F14F9.2,282.64739244376744,-6.993486560377962,1.2722701748194358,3.174506262134183e-9,5.932646123220332e-7,F14F9.2
T27A10.6,56.472973761365,5.522350501018716,0.9879330318716618,3.3522608792915036e-9,6.175343434066278e-7,T27A10.6
ech-1.2,519.6549639421253,1.5739224517151889,0.30235104450309286,3.402998841868247e-9,6.18051691068888e-7,T08B2.7
F36D1.15,18.225110404957,-5.372315532884086,0.9672265355210088,3.947176789953738e-9,6.972444480336091e-7,F36D1.15
aass-1,84.08447589985332,3.0693576334060393,0.6610079855738696,3.9309258351743055e-9,6.972444480336091e-7,R02D3.1
F35E8.10,95.10014714014706,-5.888029770935643,1.0643038831742082,4.350948119455774e-9,7.58182108113273e-7,F35E8.10
scl-6,44.07224009965685,5.719126567883377,1.047220238327574,6.349978828171204e-9,1.091773026523569e-6,C39E9.4
asp-12,63.23411445054661,6.610699683109478,1.2386322502366396,8.905736445052203e-9,1.5110456770914232e-6,F21F8.4
sams-1,92.01700470023552,3.537047249060223,0.7476030515318789,1.0303115672883015e-8,1.7254373584652788e-6,C49F5.1
Y50D4B.4,55.87427005444225,5.4235658223485235,1.0162824929223095,1.1339563401974655e-8,1.874662436775169e-6,Y50D4B.4
D1086.9,19.802148349353114,-7.812031259649458,1.5332189305112927,1.1548144092328166e-8,1.8849787097540723e-6,D1086.9
let-754,105.59390479855371,1.6635356159663008,0.3447860733232763,1.3848841654381914e-8,2.232260164165685e-6,C29E4.8
T19B10.2,177.91453780073553,3.737531407057183,0.7844341094239068,1.5274843269808785e-8,2.431717332891164e-6,T19B10.2
pdi-1,427.9221812988181,1.4911918958028163,0.29819520794450666,1.6081293182062884e-8,2.528881409545133e-6,C14B1.1
clec-180,31.91536761942957,6.576762280211267,1.2712034869724673,1.9626177110550525e-8,3.049151251090952e-6,F32E10.3
C54F6.17,109.23086126359182,-5.158050144359751,0.9954014551961088,2.082445631094742e-8,3.196801953924607e-6,C54F6.17
Y60C6A.3,52.52147461251548,-5.851844614437619,1.1264246430000926,2.195984720245502e-8,3.3314379961842057e-6,Y60C6A.3
flp-33,776.5584051949191,-1.9540018039053566,0.446272807182172,2.295796811214138e-8,3.4423604512332924e-6,T07D10.6
phy-2,63.383186693039946,3.678384712295784,0.7951765674995568,2.3369297653321725e-8,3.4637596924090073e-6,F35G2.4
nlp-52,333.1975134826378,-2.251515671441087,0.542843219080351,2.4049256895112137e-8,3.4861096419445892e-6,F42G9.4
T14B1.1,599.7809158917773,-2.1957118534315816,0.5258008427179093,2.4060780002564437e-8,3.4861096419445892e-6,T14B1.1
ngp-1,398.93952423547813,-1.585819531737194,0.333983703669074,3.2276760043951323e-8,4.573723305129146e-6,T19A6.2
clp-4,302.01493917598765,-2.3404628380181305,0.5772152706970801,3.200568674974201e-8,4.573723305129146e-6,Y39A3CL.5
mfb-1,786.1928161286588,-2.293344861484293,0.5656662877479762,3.456218613995089e-8,4.844341198637682e-6,DY3.6
zig-5,303.00973377804127,-2.301237095970757,0.5714498615779193,3.8780778611058505e-8,5.377184303113972e-6,Y48A6A.1
txdc-12.1,150.53907422878945,2.8016816294123346,0.695063953060927,3.947230066187973e-8,5.414843798244033e-6,Y57A10A.23
