gene,baseMean_A,log2FoldChange_A,lfcSE_A,pvalue_A,padj_A,compared_condition_A,gene_wb,baseMean_B,log2FoldChange_B,lfcSE_B,pvalue_B,padj_B,compared_condition_B
gpdh-2,506.1948649905018,-2.147742342649447,0.3815841300997061,3.5373508584919694e-10,3.270575647914033e-8,A,K11H3.1,506.1948649905018,-2.0270121271420973,0.42541137774492105,4.1355358931457315e-7,6.740364649625766e-5,B
acdh-7,268.5867918831353,-2.4934001059800033,0.43543272827651786,4.802387193879679e-10,4.3664672027579646e-8,A,T25G12.5,268.5867918831353,-1.3998723779827182,0.6785544457796483,3.7093745424050925e-4,0.017273654963686415,B
R13D7.2,47.0349697513562,3.7463493251661597,0.638950084162703,4.866452026159343e-10,4.377833937586857e-8,A,R13D7.2,47.0349697513562,3.1904489799776923,0.7197863637546087,1.3373979423205203e-6,1.772566657398659e-4,B
C17H12.8,110.619164331032,4.925558848703944,0.8757683343460928,4.947300352537306e-10,4.420695093535684e-8,A,C17H12.8,110.619164331032,3.7270960856857553,1.1089342913669868,1.533202926687783e-5,0.0014912871369984959,B
Y50D4B.2,69.05641788120325,-4.510715813705774,0.7916770468971471,5.716747333056286e-10,5.07418493282076e-8,A,Y50D4B.2,69.05641788120325,-3.1790702484481836,1.0282639655032724,4.081141525287841e-5,0.0031962758400322496,B
F56C11.6,45.29636581737163,-2.737571503557898,0.474695093133006,6.147860419211789e-10,5.3850403698280107e-8,A,F56C11.6,45.29636581737163,-2.020424808980995,0.6262011188921138,4.6674808932285523e-05,0.0034965519908838243,B
alh-5,131.78850568676057,-3.2990587973228687,0.5648144368149663,6.392093759335564e-10,5.562374922339457e-8,A,T08B1.3,131.78850568676057,-1.6529842594823496,0.952256799434182,6.833365679657865e-4,0.028225076528203254,B
fipr-1,144.41080263645864,3.5552174516252864,0.6104053077066848,6.738423994327762e-10,5.7509857090051164e-8,A,F23H12.8,144.41080263645864,2.7336525839282624,0.6957460844557167,8.767093886147908e-6,9.357514987684063e-4,B
maoc-1,267.8942402957228,-2.9245605814591764,0.5052161128154912,6.977038162108531e-10,5.916706120402101e-8,A,E04F6.3,267.8942402957228,-2.726976033967963,0.5758155962347564,5.212924760180476e-7,8.383078071004897e-5,B
K05B2.4,46.2222598074262,-3.7260113534193158,0.6509156556426339,1.0852924249255182e-9,8.864775058563405e-8,A,K05B2.4,46.2222598074262,-2.126070918130289,0.9996081633425797,3.2098093866078273e-4,0.015547594783886348,B
tth-1,173.56320515573617,-1.821046597729613,0.3497807263717036,2.0514250712726264e-9,1.5972323625101606e-7,A,F08F1.8,173.56320515573617,-1.2036688921599956,0.4648896502853907,1.3552615238733966e-4,0.00780057354441511,B
dur-1,146.82156940672502,-2.6712077343511456,0.48384239042450855,2.088863869525273e-9,1.616926369701133e-7,A,F25H8.5,146.82156940672502,-1.2128874138275,0.8060961649937322,0.0010958832971447404,0.040420331641782,B
ZK228.4,43.744176582821034,5.996915567990082,1.1840225596538048,2.1141914612594354e-9,1.6177209836326507e-7,A,ZK228.4,43.744176582821034,3.3338544357368063,1.139135918479113,4.712123155801021e-5,0.0035082047766738346,B
Y102A11A.3,42.70473916678936,3.3774405600110393,0.6022714727453554,2.3184140570616034e-9,1.7341216154897856e-7,A,Y102A11A.3,42.70473916678936,1.7929887021962247,0.8234541457661714,3.091736934910227e-4,0.015158308606484653,B
T09B4.8,92.09121313298783,3.4143012650396765,0.6094443737718833,2.3823469058023142e-9,1.771986966695643e-7,A,T09B4.8,92.09121313298783,2.8097404878451604,0.7323487996481317,1.0833121976021761e-5,0.0011263645185586074,B
C49G7.3,952.1149584535352,3.884240777086581,0.6996651297038666,2.507298666461023e-9,1.8545652469590034e-7,A,C49G7.3,952.1149584535352,2.1975533351308028,1.0928757480988727,3.7704294625078824e-4,0.017423429021956923,B
R06F6.14,63.23919461667188,4.026083913277058,0.7314727155430717,2.8681706107327803e-9,2.098177116005288e-7,A,R06F6.14,63.23919461667188,3.4390675859722037,0.7992527755580764,1.7217319743900465e-6,2.188936358658071e-4,B
aqp-7,1036.8154017978582,2.3310135689922578,0.43823515950855896,2.977028205708826e-9,2.1631471804231774e-7,A,M02F4.8,1036.8154017978582,2.2293981573803143,0.48251353566346356,8.669174501691615e-7,1.2908507859864514e-4,B
B0395.3,105.79341631527602,-2.7589115633592245,0.506893795293104,3.6168101751058854e-9,2.534432140597882e-7,A,B0395.3,105.79341631527602,-1.8096849838752722,0.7443800028147787,1.987362819213277e-4,0.010559287648692219,B
F55G11.2,92.05069343262407,3.685124254396257,0.6697221071191257,3.7195266812294406e-9,2.57925928301504e-7,A,F55G11.2,92.05069343262407,3.4545758011546934,1.3726036526682222,7.504219550864595e-5,0.0050004636465733636,B
F15E6.6,15.199642359477638,-3.7330257308968164,0.6812812175683538,4.091788383384663e-9,2.8226979552530257e-7,A,F15E6.6,15.199642359477638,-1.6523948165424145,1.0507731712956563,9.246028116799192e-4,0.03551475959131053,B
acs-14,293.92028974616903,-1.9014950542081066,0.3761272126064941,5.018497060364399e-9,3.3915149104187283e-7,A,F11A3.1,293.92028974616903,-1.9638641014175793,0.41327566170679764,4.1155526122884334e-7,6.740364649625766e-5,B
ceeh-2,72.32728921059002,-2.7771333935686293,0.5158833130503483,5.043713025859307e-9,3.3915149104187283e-7,A,K07C5.5,72.32728921059002,-2.745716203740993,0.5903846199114162,7.427990264830157e-7,1.134037855495146e-4,B
nspc-16,129.38576270137682,4.244813353276628,0.7970038404377014,5.894231540193511e-9,3.878540284690498e-7,A,D1025.6,129.38576270137682,4.084732028867193,1.0086261813997186,1.914919221217752e-6,2.3912416211043777e-4,B
nspc-10,219.57655017846756,4.055299677888032,0.776065404842191,1.1872880584910184e-8,7.479879251112954e-7,A,F42F12.9,219.57655017846756,3.5491059325611998,0.9111476889593266,5.455133700232741e-6,6.149006313879167e-4,B
